Song,Artist ,Album ,Cover art,Year relesed 
Love Me ,JSMN ,Soft Spot ,"cmu://1012254/42190929/jmsn_soft_spot.jpg
      ",2023
Everything ,Mary J. Blige ,Share My World ,cmu://1012254/42232185/mary.jpeg,1997
Lol (Pa Fiye) ,Klass,Fe'l Ak Tout Ke'w,cmu://1012254/42192017/lol_klass.jpeg,2016
Real ,Kendrick Lamar ,"good kid, m.A.A.d city ",cmu://1012254/42192471/real_kendrick.jpeg,2012
melt ,Kehlani ,Blue Water Road,cmu://1012254/42232232/melt.jpeg,2022
"Sing About Me, Im Dying Of Thirst ",Kendrick Lamar ,"good kid, m.A.A.d city ",cmu://1012254/42192471/real_kendrick.jpeg,2012
Neverender (Kaytranada remix) ,Justice ft. Tame Impala ,Hyperdrama ,cmu://1012254/42193618/neverender.jpg,2024
"Dont Worry Babe, I Got You Babe ",Kaytranada ,Ain't No Damn Way!,cmu://1012254/42207524/ANDW_kaytranada.jpeg,2025
Mirrors ,Justsin Timberlake ,20/20 Experience ,cmu://1012254/42208056/mirrors.jpeg,2013
Homecoming ,Kanye West ,Graduation ,cmu://1012254/42208314/homecoming.jpeg,2007
"New Person, Same Old Mistakes ",Tame Impala ,Currents ,cmu://1012254/42208609/tame_impala.jpeg,2015
Rich Sprit ,Kendrick Lamar ,Mr. Morale and The Big Steppers ,cmu://1012254/42223387/MMATBS.jpeg,2022
Les ,Childish Gambino ,Camp ,cmu://1012254/42223447/les.jpeg,2011
Halfcrazy ,Musiq Soulchild ,Juslisen ,cmu://1012254/42232222/halfcrazy.jpeg,2002
Lite Spots ,Kaytranada ,99.90%,cmu://1012254/42223740/lite_spots.jpeg,2016
2 The Music ,Kaytranada ,BUBBA,cmu://1012254/42223832/2_the_music.jpeg,2019
Obsesion ,Aventura ,We Broke The Rules ,cmu://1012254/42224120/obsesion.jpeg,2002
war to be over ,Kwn ,With All Due Respect ,"cmu://1012254/42232063/kwn.jpeg        
",2025
Too Many Woman ,"Jordan Adetunji, ft Kwn ",A Jaguar's Dream,cmu://1012254/42232086/too_many_women.jpeg,2025
Woman ,Rema ,Woman ,cmu://1012254/42232093/woman.jpeg,2020
Get In My Car,50 Cent ,The Massacre ,cmu://1012254/42232106/50_cent.jpeg,2005
Baby By Me ,"50 Cent, Ne-Yo ",Before I Self Destruct ,cmu://1012254/42232111/baby_by_me.jpeg,2009
Time ,Ne-Yo ,In My Own Words ,cmu://1012254/42232151/time.jpeg,2006
Never Knew I Needed ,Ne-Yo ,The Princess And the Frog Soundtrack ,cmu://1012254/42232162/NKIN.jpeg,2009
Take My Breath - Extended Version ,The Weekend ,Dawn FM,cmu://1012254/42232200/TMB.jpeg,2022